Name,Type,isCarrier,PAK,MGRS,DD,DM,DMS,Altitude(Feet)
Al Dhafra,AIRBASE,false,1,40R BM 506 836,24.2459 54.5437,24°14.7533'N 54°32.6239'E,24°14'45.2"N 54°32'37.43"E,52.49343832
Abu Al Abyad,NAVAL,false,1,39R YG 829 821,24.2265 53.7854,24°13.5875'N 53°47.1259'E,24°13'35.25"N 53°47'07.55"E,42.650918635000004
Abu Musa,AIRBASE,false,5,40R CP 030 632,25.8743 55.0343,25°52.4557'N 55°02.06090'E,25°52'27.34"N 55°02'03.65"E,19.685039370000002
Al Ain,AIRBASE,false,1,40R CM 585 841,24.2632 55.6060,24°15.7944'N 55°36.3626'E,24°15'47.67"N 55°36'21.76"E,787.4015748
Al Ain Supply,ARMYBASE,false,1,40R CN 618 062,24.4632 55.6368,24°27.7917'N 55°38.2102'E,24°27'47.5"N 55°38'12.61"E,853.0183727000001
Al Dhaid,FARP,false,3,40R CN 848 995,25.3076 55.8557,25°18.4558'N 55°51.3401'E,25°18'27.35"N 55°51'20.41"E,331.364829395
Al Khazna,FARP,false,1,40R CM 088 783,24.2054 55.1177,24°12.3244'N 55°07.06456'E,24°12'19.46"N 55°07'03.87"E,429.79002624500004
Al Madam,ROADBASE,false,3,40R CN 777 649,24.9943 55.7878,24°59.6552'N 55°47.2666'E,24°59'39.31"N 55°47'16"E,544.61942257
Al Maktoum,AIRBASE,false,2,40R CN 148 548,24.8975 55.1665,24°53.8512'N 55°09.98920'E,24°53'51.07"N 55°09'59.35"E,124.67191601
Al Minhad,AIRBASE,false,2,40R CN 350 691,25.0283 55.3650,25°01.69947'N 55°21.8997'E,25°01'41.97"N 55°21'53.98"E,154.199475065
Al Maksuriyah,ROADBASE,false,4,40R DP 419 699,25.9466 56.4194,25°56.7970'N 56°25.1662'E,25°56'47.82"N 56°25'09.97"E,32.808398950000004
Bandar Abbas,AIRBASE,false,7,40R DR 382 111,27.2215 56.3763,27°13.2919'N 56°22.5755'E,27°13'17.51"N 56°22'34.53"E,16.404199475000002
Bandar Khamir,FARP,false,7,40R CQ 612 819,26.9518 55.6019,26°57.1068'N 55°36.1169'E,26°57'06.41"N 55°36'07.01"E,26.24671916
Bandar Lengeh,AIRBASE,false,8,40R BQ 834 357,26.5256 54.8263,26°31.5378'N 54°49.5781'E,26°31'32.27"N 54°49'34.68"E,39.370078740000004
Bandar-e-jask,AIRBASE,false,6,40R EP 800 381,25.6581 57.7974,25°39.4836'N 57°47.8445'E,25°39'29.01"N 57°47'50.67"E,19.685039370000002
Basa'idu,FARP,false,7,40R CQ 282 491,26.6525 55.2735,26°39.1490'N 55°16.4108'E,26°39'08.94"N 55°16'24.65"E,22.965879265
Bored Point,ARMYBASE,false,8,40R BQ 651 747,26.8742 54.6355,26°52.4519'N 54°38.1274'E,26°52'27.11"N 54°38'07.65"E,492.12598425000004
Chahestan,FARP,false,9,40R DR 748 449,27.5273 56.7448,27°31.6378'N 56°44.6857'E,27°31'38.27"N 56°44'41.14"E,167.322834645
Cheetah Crossroads,ARMYBASE,false,11,40R EU 331 185,29.9971 57.3430,29°59.8276'N 57°20.5775'E,29°59'49.66"N 57°20'34.65"E,6788.057742755001
Chunko Memorial Roadbase,ROADBASE,false,6,40R DQ 980 872,27.0065 56.9803,27°00.388069'N 56°58.8158'E,27°00'23.28"N 56°58'48.95"E,26.24671916
Dehong,FARP,false,8,40R BR 672 228,27.3083 54.6474,27°18.5005'N 54°38.8452'E,27°18'30.03"N 54°38'50.71"E,1305.7742782100001
Dibba Al-Hisn,NAVAL,false,4,40R DP 278 327,25.6100 56.2808,25°36.6007'N 56°16.8477'E,25°36'36.04"N 56°16'50.86"E,9.842519685000001
Dowlatabad,FARP,false,11,40R ES 155 772,28.7217 57.1589,28°43.3033'N 57°09.53168'E,28°43'18.2"N 57°09'31.9"E,5564.30446192
